Drink,fl oz,Calories,Caffeine (mg),mg/ floz,Type,Release Year,Source
Turkey Hill Iced Tea,12.0,120.0,64.0,5.3,Tea,,
Twig Tea (Kukicha),8.0,0.0,25.0,3.1,Tea,,
Waka Instant Tea,8.0,0.0,30.0,3.8,Tea,,
Wendy's Iced Tea,16.0,5.0,32.0,2.0,Tea,,
Xing Craft Brew,16.0,5.0,120.0,7.5,Tea,,
Xingtea Iced Green Tea,23.5,50.0,110.0,4.7,Tea,,
Yellow Tea,8.0,0.0,63.0,7.9,Tea,,
Yerba Mate Tea,8.0,0.0,40.0,5.0,Tea,,
YMateina Yerba Mate,8.0,0.0,80.0,10.0,Tea,,
Zest Highly Caffeinated Tea,8.0,0.0,150.0,18.8,Tea,,
3 Water,16.9,0.0,50.0,3.0,Water,,
AHA Sparkling Water,12.0,0.0,30.0,2.5,Water,,
Arti Sparkling Water,12.0,0.0,120.0,10.0,Water,,
Bubbl'r Sparkling Water,12.0,5.0,69.0,5.8,Water,,
Bubly Bounce Sparkling Water,12.0,0.0,35.0,2.9,Water,,
Bubly Sparkling Water,12.0,0.0,0.0,0.0,Water,,
Caribou BOUsted Sparkling Water,11.5,0.0,75.0,6.5,Water,,
GURU Sparkling Energy Water,12.0,0.0,100.0,8.3,Water,,
Heroec Energy Water,16.9,0.0,60.0,3.6,Water,,
Hint Caffeine Kick Water,16.0,0.0,60.0,3.8,Water,,
La Croix Sparkling Water,12.0,0.0,0.0,0.0,Water,,
Limitless Sparkling Water,12.0,0.0,35.0,2.9,Water,,
MiO Energy Water Enhancer,8.0,0.0,60.0,7.5,Water,,
Monster Tour Water,16.0,0.0,0.0,0.0,Water,,
Pep Talk Sparkling Water,12.0,0.0,55.0,4.6,Water,,
Perrier Energize,8.46,35.0,99.0,11.7,Water,,
Perrier Sparkling Water,11.15,0.0,0.0,0.0,Water,,
Phocus Sparkling Water,11.5,0.0,75.0,6.5,Water,,
Poland Spring Sparkling Energy Water,11.5,35.0,75.0,6.5,Water,,
Polar Frost Plus Energy,17.0,10.0,67.0,3.9,Water,,
Polar Seltzer Water,12.0,0.0,0.0,0.0,Water,,
Sparkling Ice +Caffeine,16.0,5.0,70.0,4.4,Water,,
Tonic Water,10.0,110.0,0.0,0.0,Water,,
VitaminWater Energy,20.0,100.0,50.0,2.5,Water,,
VitaRain Zero Enhanced Water,20.0,0.0,42.0,2.1,Water,,
Water Joe,20.0,0.0,70.0,3.5,Water,,
Yerbae Sparkling Water,12.0,0.0,100.0,8.3,Water,,
5 Hour Energy,1.93,4.0,200.0,103.6,Energy Shot,,
5 Hour Energy Extra Strength,1.93,0.0,230.0,119.2,Energy Shot,,
7-Eleven Energy Shot,2.0,0.0,260.0,130.0,Energy Shot,,
Advocare Slam Energy Shot,2.0,10.0,120.0,60.0,Energy Shot,,
Balance Active Shot,2.0,80.0,100.0,50.0,Energy Shot,,
Balance Energy Shot,2.0,77.0,150.0,75.0,Energy Shot,,
Bang Shot,3.0,0.0,300.0,100.0,Energy Shot,,
Clif Shot Energy Gel,1.2,100.0,100.0,83.3,Energy Shot,,
DynaPep,0.14,0.0,100.0,714.3,Energy Shot,,
E6 Energy Shot,1.93,0.0,235.0,121.8,Energy Shot,,
Equip Pure Energy Shot,1.8,35.0,100.0,55.6,Energy Shot,,
Eternal Energy Extra Strength,1.93,0.0,280.0,145.1,Energy Shot,,
Eternal Energy Shot,1.93,0.0,230.0,119.2,Energy Shot,,
Forto Organic Coffee Shot,2.0,35.0,225.0,112.5,Energy Shot,,
Kaffn8 Liquified Caffeine,0.25,0.0,75.0,300.0,Energy Shot,,
Kirkland Energy Shot,2.0,5.0,180.0,90.0,Energy Shot,,
Mana Energy Potion,1.69,25.0,75.0,44.4,Energy Shot,,
Neu Nootropic Shot,2.0,0.0,350.0,175.0,Energy Shot,,
Nutramint Smart Serum,2.0,45.0,200.0,100.0,Energy Shot,,
Performance Caffeine,2.0,0.0,180.0,90.0,Energy Shot,,
Phoenix Energy Shot,2.0,0.0,280.0,140.0,Energy Shot,,
Proper Wild Energy Shot,2.5,25.0,180.0,72.0,Energy Shot,,
Red Thunder Energy Shot,2.0,0.0,138.0,69.0,Energy Shot,,
Red Thunder Extra Strength,2.0,0.0,230.0,115.0,Energy Shot,,
Redline Max 300,2.5,0.0,300.0,120.0,Energy Shot,,
Redline Xtreme Shot,3.0,5.0,300.0,100.0,Energy Shot,,
Reed's Ginger Energize Shot,2.0,24.0,100.0,50.0,Energy Shot,,
Rip It Energy Shot,2.0,0.0,120.0,60.0,Energy Shot,,
Screamin Energy Max Hit,0.61,40.0,185.0,303.3,Energy Shot,,
Spike Energy Double Shot,4.26,0.0,350.0,82.2,Energy Shot,,
Stacker Extreme Energy Shot,2.0,0.0,205.0,102.5,Energy Shot,,
TruBrain Extra,1.0,25.0,100.0,100.0,Energy Shot,,
Tweaker Shot,2.0,0.0,275.0,137.5,Energy Shot,,
Vital 4U Liquid Energy,0.5,34.0,155.0,310.0,Energy Shot,,
Woke Up Energy Shot,1.93,0.0,225.0,116.6,Energy Shot,,
X-Mode Energy Shot,1.0,0.0,150.0,150.0,Energy Shot,,
Zombie Blood Energy Potion,3.4,25.0,80.0,23.5,Energy Shot,,
Adrenaline Shoc,,,,,,2019.0,"https://www.prnewswire.com/news-releases/serial-beverage-entrepreneur-lance-collins-launches-adrenaline-shoc-300833592.html#:~:text=BEVERLY%20HILLS%2C%20Calif.%2C%20April,designed%20for%20today's%20active%20generation."
C4 Energy Drink,,,,,,2018.0,https://reizeclub.com/is-c4-energy-drink-bad-for-you/
Celsius Heat Energy Drink,,,,,,2017.0,https://www.prnewswire.com/news-releases/celsius-newest-product-launch-celsius-heat-selected-as-one-of-beverage-industrys-2017-innovations-of-the-year-300567519.html
Live+  Energy Drink,,,,,,2018.0,https://www.mightyape.co.nz/product/live-plus-energy-drink-original-citrus-500ml/28204228
Loud Energy Drink,,,,,,2007.0,https://www.foodingredientsfirst.com/news/loud-launches-beverage-company-with-line-of-energy-drinks.html
Mountain Dew Rise,,,,,,2021.0,https://www.convenience.org/Media/Daily/2021/Mar/19/5-PepsiCo-Mtn-Dew-Rise-Energy-Drink_Marketing
Xtreme Shock Energy Drink,,,,,,2005.0,https://www.bevindustry.com/articles/83963-advanced-nutrient-science-taking-energy-to-the-xtreme
Lipovitan-D,,,,,,1962.0,"https://prowm.com/brewing/energy-drinks-history-rise-pasteurization/#:~:text=Early%20History%20of%20Energy%20Drinks,-Energy%20drinks%20have&text=The%20first%20energy%20drink%2C%20called,vitamins%2C%20taurine%2C%20and%20caffeine."
Krating Daeng,,,,,,1975.0,https://en.wikipedia.org/wiki/Krating_Daeng
