Drink,fl oz,Calories,Caffeine (mg),mg/ floz,Type
Baskin Robbins Cappuccino Blast,24.0,470,234,9.8,coffee
Big Train Java Chip Ice Coffee,12.0,410,49,4.1,coffee
Biggby Brewed Coffee,16.0,0,200,12.5,coffee
Biggby Creamy Lattes,16.0,387,100,6.2,coffee
Biggby Espresso,2.0,0,100,50.0,coffee
Biggby Iced Coffee,16.0,0,155,9.7,coffee
Biohazard Coffee,12.0,3,928,77.3,coffee
Bizzy Cold Brew,2.67,0,125,46.8,coffee
Black Ink Coffee,12.0,0,144,12.0,coffee
Black Insomnia Coffee,12.0,0,1105,92.1,coffee
Black Label Brewed Coffee,12.0,0,1555,129.6,coffee
Bottled Iced Coffee Dunkin Donuts,13.7,260,171,12.5,coffee
Bulletproof Coffee,8.0,0,145,18.1,coffee
Cafe Bustelo,12.0,0,150,12.5,coffee
Cafe Con Leche,6.0,56,154,25.7,coffee
Caffe Mocha,12.0,239,152,12.7,coffee
Caffe Nero Coffee,12.0,5,160,13.3,coffee
Califia Farms Cold Brew Coffee,8.0,10,180,22.5,coffee
Cannonball Coffee Maximum Charge (UK),12.0,0,1101,91.8,coffee
Cappuccino,12.0,97,154,12.8,coffee
Caribou Brewed Coffee,16.0,5,305,19.1,coffee
Caribou Canned Cold Brew,11.5,10,177,15.4,coffee
CBD Coffee,8.0,0,100,12.5,coffee
Chameleon Cold Brew Coffee,8.0,15,260,32.5,coffee
Chameleon Cold Brew RTD,10.0,10,230,23.0,coffee
Chameleon Cold Brew With Milk,11.0,100,100,9.1,coffee
Chick-fil-A Brewed Coffee,10.0,0,136,13.6,coffee
Chick-fil-A Frosted Coffee,14.0,240,130,9.3,coffee
Chick-fil-A Iced Coffee,14.0,190,80,5.7,coffee
Choffy (roasted cacao),6.0,0,23,3.8,coffee
Coffee,8.0,0,163,20.4,coffee
"Coffee (Decaf, Instant)",8.0,6,2,0.3,coffee
Coffee (Instant),8.0,0,57,7.1,coffee
Coffee Bean & Tea leaf Coffee,16.0,5,333,20.8,coffee
Coffee Friend Brewed Coffee,8.46,0,145,17.1,coffee
Coffee Leaf Tea,8.0,0,20,2.5,coffee
COGO Caffeinated Hot Chocolate,6.0,110,98,16.3,coffee
CoolBrew Coffee,10.0,0,60,6.0,coffee
Costa Coffee,10.14,222,241,23.8,coffee
Crio Bru Brewed Cacao,8.0,20,10,1.2,coffee
Dare Iced Coffee,16.91,429,160,9.5,coffee
Death Wish Canned Cold Brew,8.0,15,300,37.5,coffee
Death Wish Coffee,12.0,0,728,60.7,coffee
Death Wish Latte,8.0,170,300,37.5,coffee
Decaf Coffee,8.0,2,6,0.7,coffee
Devils Brew Extreme Caffeine Coffee,12.0,0,1325,110.4,coffee
Driftaway Coffee,8.0,0,160,20.0,coffee
Dripdash Kyoto Coffee,6.0,0,225,37.5,coffee
Dunkin Donuts Shot In The Dark,8.1,80,134,16.5,coffee
Dunkin' Cold Brew,24.0,5,260,10.8,coffee
Dunkin' Donuts Brewed Coffee,14.0,5,210,15.0,coffee
Dunkin' Donuts Dunkaccino,14.0,350,83,5.9,coffee
Dunkin' Donuts Extra Charged Coffee,14.0,10,252,18.0,coffee
Dunkin' Donuts Iced Coffee,24.0,20,297,12.4,coffee
Dunkin' Donuts Iced Latte,24.0,100,166,6.9,coffee
Dunkin' Donuts Latte,14.0,100,166,11.9,coffee
Dutch Bros Coffee (Classic),20.0,10,187,9.3,coffee
Eight O'Clock Coffee,8.0,0,112,14.0,coffee
Einstein Bros Coffee,16.0,0,206,12.9,coffee
Espresso Monster,8.4,170,160,19.0,coffee
Espresso Shot,1.5,0,77,51.3,coffee
Flat White,12.0,170,130,10.8,coffee
Folgers Coffee,8.0,0,112,14.0,coffee
Gloria Jean's Coffee,2.028,0,67,33.0,coffee
Gold Peak Coffee,8.0,5,126,15.8,coffee
Gothrider Gasoline Coffee,8.0,0,200,25.0,coffee
Gourmesso Coffee Pods,1.35,0,65,48.1,coffee
Greek Coffee (Metrios),2.0,25,50,25.0,coffee
GymBrew Coffee,12.0,4,333,27.8,coffee
Hell Energy Coffee,8.46,150,100,11.8,coffee
High Brew Coffee,8.0,50,140,17.5,coffee
High Voltage Coffee (AU),12.0,0,1150,95.8,coffee
Illy Issimo Cafe,6.8,45,155,22.8,coffee
Indulgio Cappuccino,8.0,79,20,2.5,coffee
International Delight Iced Coffee,12.0,180,88,7.3,coffee
K Cup Decaf,8.0,0,4,0.5,coffee
K-Cup Coffee,8.0,0,100,12.5,coffee
Killer Coffee (AU),8.46,0,430,50.8,coffee
La Colombe Cold Brew ,9.0,5,180,20.0,coffee
La Colombe Draft Latte,9.0,90,120,13.3,coffee
Latte,16.0,160,154,9.6,coffee
Long Black,6.0,2,154,25.7,coffee
Maxwell House Coffee,8.0,0,112,14.0,coffee
Maxwell House Max Boost Coffee,8.0,0,196,24.5,coffee
